id,flights,city,country
1035,4,Guernsey,Others
1036,4,Hobart,Others
1037,4,Holguin,Others
1038,4,Huatulco,Others
1039,4,Igdir,Others
1040,4,Juba,Others
1041,4,Kahramanmaras,Others
1042,4,Kalgoorlie,Others
1043,4,Kamloops,Others
1044,4,Karaganda,Others
1045,4,Karlovy Vary,Others
1046,4,Kayseri,Others
1047,4,Keffallinia,Others
1048,4,Kemorovo,Others
1049,4,Kiritimati,Others
1050,4,Kirkenes,Others
1051,4,Kiruna,Others
1052,4,Konya,Others
1053,4,Kosrae,Others
1054,4,Kramfors,Others
1055,4,Kuching,Others
1056,4,Kushiro,Others
1057,4,La Romana,Others
1058,4,Libreville,Others
1059,4,Liege,Others
1060,4,Linkoeping,Others
1061,4,Longreach,Others
1062,4,Lubumashi,Others
1063,4,Lulea,Others
1064,4,Lvov,Others
1065,4,Lycksele,Others
1066,4,Magadan,Others
1067,4,Majuro,Others
1068,4,Malatya,Others
1069,4,Mexicali,Others
1070,4,Miho,Others
1071,4,Miyako,Others
1072,4,Mont Joli,Others
1073,4,Moranbah,Others
1074,4,Moroni,Others
1075,4,Muan,Others
1076,4,Murmansk,Others
1077,4,Mus,Others
1078,4,Mytilini,Others
1079,4,N'djamena,Others
1080,4,Nakashibetsu,Others
1081,4,Ndola,Others
1082,4,Nizhnevartovsk,Others
1083,4,Norilsk,Others
1084,4,Noumea,Others
1085,4,Novokuznetsk,Others
1086,4,Novy Urengoy,Others
1087,4,Oaxaca,Others
1088,4,Palanga,Others
1089,4,Penang,Others
1090,4,Plovdiv,Others
1091,4,Port-vila,Others
1092,4,Porto Alegre,Others
1093,4,Puerto Montt,Others
1094,4,Quesnel,Others
1095,4,Recife,Others
