All Categories,Source Country,Source City,Source Airport,Destination Country,Destination City,Destination Airport,Airline Name,Sum of Flights
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Baita International Airport,Airline Name:China Eastern Airlines,9
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Baita International Airport,Airline Name:Air China,5
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Baita International Airport,Airline Name:Shenzhen Airlines,3
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Baita International Airport,Airline Name:Hainan Airlines,3
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Tianjin Binhai International Airport,Airline Name:Air China,11
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Tianjin Binhai International Airport,Airline Name:Shenzhen Airlines,7
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Tianjin Binhai International Airport,Airline Name:China Southern Airlines,7
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Tianjin Binhai International Airport,Airline Name:Hainan Airlines,3
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Tianjin Binhai International Airport,Airline Name:China Eastern Airlines,3
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Tianjin Binhai International Airport,Airline Name:All Nippon Airways,1
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Nanning Wuxu Airport,Airline Name:China Southern Airlines,11
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Nanning Wuxu Airport,Airline Name:Shenzhen Airlines,8
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Nanning Wuxu Airport,Airline Name:Air China,6
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Nanning Wuxu Airport,Airline Name:China Eastern Airlines,4
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Nanning Wuxu Airport,Airline Name:Hainan Airlines,2
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Nanning Wuxu Airport,Airline Name:KLM Royal Dutch Airlines,1
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Haikou Meilan International Airport,Airline Name:Hainan Airlines,14
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Haikou Meilan International Airport,Airline Name:China Southern Airlines,9
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Haikou Meilan International Airport,Airline Name:Air China,4
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Haikou Meilan International Airport,Airline Name:Shenzhen Airlines,3
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Haikou Meilan International Airport,Airline Name:China Eastern Airlines,1
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Sanya Phoenix International Airport,Airline Name:China Southern Airlines,11
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Sanya Phoenix International Airport,Airline Name:Hainan Airlines,6
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Sanya Phoenix International Airport,Airline Name:Shenzhen Airlines,5
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Sanya Phoenix International Airport,Airline Name:Air China,5
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Sanya Phoenix International Airport,Airline Name:China Eastern Airlines,4
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Longjia Airport,Airline Name:China Southern Airlines,13
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Longjia Airport,Airline Name:Air China,6
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Longjia Airport,Airline Name:Shenzhen Airlines,5
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Longjia Airport,Airline Name:KLM Royal Dutch Airlines,2
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Longjia Airport,Airline Name:Hainan Airlines,1
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Nanchang Changbei International Airport,Airline Name:China Southern Airlines,10
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Nanchang Changbei International Airport,Airline Name:China Eastern Airlines,7
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Nanchang Changbei International Airport,Airline Name:Hainan Airlines,4
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Nanchang Changbei International Airport,Airline Name:Air China,4
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Nanchang Changbei International Airport,Airline Name:Shenzhen Airlines,1
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Guilin Liangjiang International Airport,Airline Name:China Southern Airlines,11
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Guilin Liangjiang International Airport,Airline Name:Air China,6
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Guilin Liangjiang International Airport,Airline Name:Hainan Airlines,4
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Guilin Liangjiang International Airport,Airline Name:China Eastern Airlines,2
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Guilin Liangjiang International Airport,Airline Name:Shenzhen Airlines,1
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Guilin Liangjiang International Airport,Airline Name:KLM Royal Dutch Airlines,1
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Zhuhai Jinwan Airport,Airline Name:China Southern Airlines,13
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Zhuhai Jinwan Airport,Airline Name:Air China,8
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Zhuhai Jinwan Airport,Airline Name:Shenzhen Airlines,4
