All,SourceCountry,SourceCity,SourceAirport,DestCountry,DestCity,DestAirport,AirlineName,Sum of Flights
All Countries,China,Others,Others,China,Others,Tianjin Binhai International Airport,Shenzhen Airlines,7
All Countries,China,Others,Others,China,Others,Tianjin Binhai International Airport,China Southern Airlines,7
All Countries,China,Others,Others,China,Others,Tianjin Binhai International Airport,Hainan Airlines,3
All Countries,China,Others,Others,China,Others,Tianjin Binhai International Airport,China Eastern Airlines,3
All Countries,China,Others,Others,China,Others,Tianjin Binhai International Airport,All Nippon Airways,1
All Countries,China,Others,Others,China,Others,Nanning Wuxu Airport,China Southern Airlines,11
All Countries,China,Others,Others,China,Others,Nanning Wuxu Airport,Shenzhen Airlines,8
All Countries,China,Others,Others,China,Others,Nanning Wuxu Airport,Air China,6
All Countries,China,Others,Others,China,Others,Nanning Wuxu Airport,China Eastern Airlines,4
All Countries,China,Others,Others,China,Others,Nanning Wuxu Airport,Hainan Airlines,2
All Countries,China,Others,Others,China,Others,Nanning Wuxu Airport,KLM Royal Dutch Airlines,1
All Countries,China,Others,Others,China,Others,Haikou Meilan International Airport,Hainan Airlines,14
All Countries,China,Others,Others,China,Others,Haikou Meilan International Airport,China Southern Airlines,9
All Countries,China,Others,Others,China,Others,Haikou Meilan International Airport,Air China,4
All Countries,China,Others,Others,China,Others,Haikou Meilan International Airport,Shenzhen Airlines,3
All Countries,China,Others,Others,China,Others,Haikou Meilan International Airport,China Eastern Airlines,1
All Countries,China,Others,Others,China,Others,Sanya Phoenix International Airport,China Southern Airlines,11
All Countries,China,Others,Others,China,Others,Sanya Phoenix International Airport,Hainan Airlines,6
All Countries,China,Others,Others,China,Others,Sanya Phoenix International Airport,Shenzhen Airlines,5
All Countries,China,Others,Others,China,Others,Sanya Phoenix International Airport,Air China,5
All Countries,China,Others,Others,China,Others,Sanya Phoenix International Airport,China Eastern Airlines,4
All Countries,China,Others,Others,China,Others,Longjia Airport,China Southern Airlines,13
All Countries,China,Others,Others,China,Others,Longjia Airport,Air China,6
All Countries,China,Others,Others,China,Others,Longjia Airport,Shenzhen Airlines,5
All Countries,China,Others,Others,China,Others,Longjia Airport,KLM Royal Dutch Airlines,2
All Countries,China,Others,Others,China,Others,Longjia Airport,Hainan Airlines,1
All Countries,China,Others,Others,China,Others,Nanchang Changbei International Airport,China Southern Airlines,10
All Countries,China,Others,Others,China,Others,Nanchang Changbei International Airport,China Eastern Airlines,7
All Countries,China,Others,Others,China,Others,Nanchang Changbei International Airport,Hainan Airlines,4
All Countries,China,Others,Others,China,Others,Nanchang Changbei International Airport,Air China,4
All Countries,China,Others,Others,China,Others,Nanchang Changbei International Airport,Shenzhen Airlines,1
All Countries,China,Others,Others,China,Others,Guilin Liangjiang International Airport,China Southern Airlines,11
All Countries,China,Others,Others,China,Others,Guilin Liangjiang International Airport,Air China,6
All Countries,China,Others,Others,China,Others,Guilin Liangjiang International Airport,Hainan Airlines,4
All Countries,China,Others,Others,China,Others,Guilin Liangjiang International Airport,China Eastern Airlines,2
All Countries,China,Others,Others,China,Others,Guilin Liangjiang International Airport,Shenzhen Airlines,1
All Countries,China,Others,Others,China,Others,Guilin Liangjiang International Airport,KLM Royal Dutch Airlines,1
All Countries,China,Others,Others,China,Others,Zhuhai Jinwan Airport,China Southern Airlines,13
All Countries,China,Others,Others,China,Others,Zhuhai Jinwan Airport,Air China,8
All Countries,China,Others,Others,China,Others,Zhuhai Jinwan Airport,Shenzhen Airlines,4
All Countries,China,Others,Others,China,Others,Lanzhou Zhongchuan Airport,China Eastern Airlines,7
All Countries,China,Others,Others,China,Others,Lanzhou Zhongchuan Airport,China Southern Airlines,6
All Countries,China,Others,Others,China,Others,Lanzhou Zhongchuan Airport,Air China,5
All Countries,China,Others,Others,China,Others,Lanzhou Zhongchuan Airport,Hainan Airlines,5
All Countries,China,Others,Others,China,Others,Lanzhou Zhongchuan Airport,Shenzhen Airlines,1
All Countries,China,Others,Others,China,Others,Hefei Luogang International Airport,Hainan Airlines,8
All Countries,China,Others,Others,China,Others,Hefei Luogang International Airport,China Southern Airlines,6
All Countries,China,Others,Others,China,Others,Hefei Luogang International Airport,Air China,5
All Countries,China,Others,Others,China,Others,Hefei Luogang International Airport,China Eastern Airlines,5
All Countries,China,Others,Others,China,Others,Ningbo Lishe International Airport,China Southern Airlines,9
All Countries,China,Others,Others,China,Others,Ningbo Lishe International Airport,China Eastern Airlines,7
All Countries,China,Others,Others,China,Others,Ningbo Lishe International Airport,Hainan Airlines,4
All Countries,China,Others,Others,China,Others,Ningbo Lishe International Airport,Air China,2
